Store;TV;Radio;Newspaper;Sales
west;230.1;37.8;69.2;22.1
west;44.5;39.3;45.1;10.4
west;17.2;45.9;69.3;12
west;151.5;41.3;58.5;16.5
west;180.8;10.8;58.4;17.9
west;8.7;48.9;75;7.2
west;57.5;32.8;23.5;11.8
west;120.2;19.6;11.6;13.2
west;8.6;2.1;1;4.8
west;199.8;2.6;21.2;15.6
west;66.1;5.8;24.2;12.6
west;214.7;24;4;17.4
west;23.8;35.1;65.9;9.2
west;97.5;7.6;7.2;13.7
west;204.1;32.9;46;19
west;195.4;47.7;52.9;22.4
west;67.8;36.6;114;12.5
west;281.4;39.6;55.8;24.4
west;69.2;20.5;18.3;11.3
west;147.3;23.9;19.1;14.6
west;218.4;27.7;53.4;18
west;237.4;5.1;23.5;17.5
west;13.2;15.9;49.6;5.6
west;228.3;16.9;26.2;20.5
west;62.3;12.6;18.3;9.7
west;262.9;3.5;19.5;17
west;142.9;29.3;12.6;15
west;240.1;16.7;22.9;20.9
west;248.8;27.1;22.9;18.9
west;70.6;16;40.8;10.5
west;292.9;28.3;43.2;21.4
west;112.9;17.4;38.6;11.9
west;97.2;1.5;30;13.2
west;265.6;20;0.3;17.4
west;95.7;1.4;7.4;11.9
west;290.7;4.1;8.5;17.8
west;266.9;43.8;5;25.4
west;74.7;49.4;45.7;14.7
west;43.1;26.7;35.1;10.1
west;228;37.7;32;21.5
west;202.5;22.3;31.6;16.6
west;177;33.4;38.7;17.1
west;293.6;27.7;1.8;20.7
west;206.9;8.4;26.4;17.9
west;25.1;25.7;43.3;8.5
west;175.1;22.5;31.5;16.1
west;89.7;9.9;35.7;10.6
west;239.9;41.5;18.5;23.2
west;227.2;15.8;49.9;19.8
west;66.9;11.7;36.8;9.7
west;199.8;3.1;34.6;16.4
west;100.4;9.6;3.6;10.7
west;216.4;41.7;39.6;22.6
west;182.6;46.2;58.7;21.2
west;262.7;28.8;15.9;20.2
west;198.9;49.4;60;23.7
west;7.3;28.1;41.4;5.5
west;136.2;19.2;16.6;13.2
west;210.8;49.6;37.7;23.8
west;210.7;29.5;9.3;18.4
west;53.5;2;21.4;8.1
west;261.3;42.7;54.7;24.2
west;239.3;15.5;27.3;20.7
west;102.7;29.6;8.4;14
west;131.1;42.8;28.9;16
west;69;9.3;0.9;11.3
west;31.5;24.6;2.2;11
west;139.3;14.5;10.2;13.4
west;237.4;27.5;11;18.9
east;216.8;43.9;27.2;22.3
east;199.1;30.6;38.7;18.3
east;109.8;14.3;31.7;12.4
east;26.8;33;19.3;8.8
east;129.4;5.7;31.3;11
east;213.4;24.6;13.1;17
east;16.9;43.7;89.4;8.7
east;27.5;1.6;20.7;6.9
east;120.5;28.5;14.2;14.2
east;5.4;29.9;9.4;5.3
east;116;7.7;23.1;11
east;76.4;26.7;22.3;11.8
east;239.8;4.1;36.9;17.3
east;75.3;20.3;32.5;11.3
east;68.4;44.5;35.6;13.6
east;213.5;43;33.8;21.7
east;193.2;18.4;65.7;20.2
east;76.3;27.5;16;12
east;110.7;40.6;63.2;16
east;88.3;25.5;73.4;12.9
east;109.8;47.8;51.4;16.7
east;134.3;4.9;9.3;14
east;28.6;1.5;33;7.3
east;217.7;33.5;59;19.4
east;250.9;36.5;72.3;22.2
east;107.4;14;10.9;11.5
east;163.3;31.6;52.9;16.9
east;197.6;3.5;5.9;16.7
east;184.9;21;22;20.5
east;289.7;42.3;51.2;25.4
east;135.2;41.7;45.9;17.2
east;222.4;4.3;49.8;16.7
east;296.4;36.3;100.9;23.8
east;280.2;10.1;21.4;19.8
east;187.9;17.2;17.9;19.7
east;238.2;34.3;5.3;20.7
east;137.9;46.4;59;15
east;25;11;29.7;7.2
east;90.4;0.3;23.2;12
east;13.1;0.4;25.6;5.3
east;255.4;26.9;5.5;19.8
east;225.8;8.2;56.5;18.4
east;241.7;38;23.2;21.8
east;175.7;15.4;2.4;17.1
east;209.6;20.6;10.7;20.9
east;78.2;46.8;34.5;14.6
east;75.1;35;52.7;12.6
east;139.2;14.3;25.6;12.2
east;76.4;0.8;14.8;9.4
east;125.7;36.9;79.2;15.9
east;19.4;16;22.3;6.6
east;141.3;26.8;46.2;15.5
east;18.8;21.7;50.4;7
east;224;2.4;15.6;16.6
east;123.1;34.6;12.4;15.2
east;229.5;32.3;74.2;19.7
east;87.2;11.8;25.9;10.6
east;7.8;38.9;50.6;6.6
east;80.2;0;9.2;11.9
east;220.3;49;3.2;24.7
east;59.6;12;43.1;9.7
east;0.7;39.6;8.7;1.6
east;265.2;2.9;43;17.7
east;8.4;27.2;2.1;5.7
east;219.8;33.5;45.1;19.6
east;36.9;38.6;65.6;10.8
east;48.3;47;8.5;11.6
east;25.6;39;9.3;9.5
east;273.7;28.9;59.7;20.8
east;43;25.9;20.5;9.6
east;184.9;43.9;1.7;20.7
east;73.4;17;12.9;10.9
east;193.7;35.4;75.6;19.2
east;220.5;33.2;37.9;20.1
east;104.6;5.7;34.4;10.4
east;96.2;14.8;38.9;12.3
east;140.3;1.9;9;10.3
east;240.1;7.3;8.7;18.2
east;243.2;49;44.3;25.4
east;38;40.3;11.9;10.9
east;44.7;25.8;20.6;10.1
east;280.7;13.9;37;16.1
east;121;8.4;48.7;11.6
east;197.6;23.3;14.2;16.6
east;171.3;39.7;37.7;16
east;187.8;21.1;9.5;20.6
east;4.1;11.6;5.7;3.2
east;93.9;43.5;50.5;15.3
east;149.8;1.3;24.3;10.1
east;11.7;36.9;45.2;7.3
east;131.7;18.4;34.6;12.9
east;172.5;18.1;30.7;16.4
east;85.7;35.8;49.3;13.3
east;188.4;18.1;25.6;19.9
east;163.5;36.8;7.4;18
east;117.2;14.7;5.4;11.9
east;234.5;3.4;84.8;16.9
east;17.9;37.6;21.6;8
east;206.8;5.2;19.4;17.2
east;215.4;23.6;57.6;17.1
east;284.3;10.6;6.4;20
east;50;11.6;18.4;8.4
east;164.5;20.9;47.4;17.5
east;19.6;20.1;17;7.6
east;168.4;7.1;12.8;16.7
east;222.4;3.4;13.1;16.5
east;276.9;48.9;41.8;27
east;248.4;30.2;20.3;20.2
west;170.2;7.8;35.2;16.7
west;276.7;2.3;23.7;16.8
west;165.6;10;17.6;17.6
west;156.6;2.6;8.3;15.5
west;218.5;5.4;27.4;17.2
west;56.2;5.7;29.7;8.7
west;287.6;43;71.8;26.2
west;253.8;21.3;30;17.6
west;205;45.1;19.6;22.6
west;139.5;2.1;26.6;10.3
west;191.1;28.7;18.2;17.3
west;286;13.9;3.7;20.9
west;18.7;12.1;23.4;6.7
west;39.5;41.1;5.8;10.8
west;75.5;10.8;6;11.9
west;17.2;4.1;31.6;5.9
west;166.8;42;3.6;19.6
west;149.7;35.6;6;17.3
west;38.2;3.7;13.8;7.6
west;94.2;4.9;8.1;14
west;177;9.3;6.4;14.8
west;283.6;42;66.2;25.5
west;232.1;8.6;8.7;18.4
